"","Movie","Release_Date.x","Opening.Day","Opening.Weekend","Opening.Week","Lifetime","V","Year","Budget","Genre","SubGenre","Cast","Director","Production","Distributors","X","X.1","X.2","X.3","Release_Date.y","Verified.FB.Page","FB.Following","Trailer.Thumbs.Down","Trailer.Thumbs.Up","Youtube.Trailer.hits","Trailer.Date","Days.between.Releases"
"197","Ra.One","2011-10-26",18,91.1,"103.25",161,"Plus",2011,135,"Action / Sci Fi","","Shah Rukh Khan,Arjun Rampal,Kareena Kapoor Khan","Anubhav Sinha","Red Chillies Entertainment","Eros International Ltd.,
Red Chillies Entertainment","",NA,NA,NA,"10/26/2011","NP",675021,381,1480,1654446,"10/13/2011",13
"198","Raanjhanaa","2013-06-21",5.15,19.9,"34",63,"Plus",2013,35,"Romance","","Dhanush,Sonam Kapoor,Abhay Deol","","","","",NA,NA,NA,"6/21/2013","NP",88314,1033,12586,5559246,"4/23/2013",59
"199","Raaz 3","2012-09-07",10.5,35,"55",70,"Super-Hit",2012,25,"Horror","","Emraan Hashmi,Bipasha Basu,Esha Gupta","Vikram Bhatt","Vishesh Films","Fox Star Studios","",NA,NA,NA,"9/7/2012","N",546483,709,3592,3407955,"7/31/2012",38
"200","Race 2","2013-01-25",15.1,51.3,"75.5",102,"Plus",2013,60,"Action","","Anil Kapoor,Saif Ali Khan,Deepika Padukone,John Abraham,Jacqueline Fernandez,Ameesha Patel","Abbas-Mustan","","UTV Motion Pictures","",NA,NA,NA,"1/25/2013","NP",85216,2179,12940,7865048,"11/12/2012",74
"201","Ragini MMS","2011-05-13",1.25,4.25,"7",9,"Hit",2011,1.3,"Horror","","Rajkummar Rao,Kainaz Motivala","Pawan Kripalani","","","",NA,NA,NA,"5/13/2011","NP",31591,41,15,75492,"4/21/2011",22
"202","Ragini MMS 2","2014-03-21",8.45,24,"38.5",47,"Super-Hit",2014,18,"Horror","","Sunny Leone","","","","",NA,NA,NA,"3/21/2014","N",857257,2719,6813,5421650,"2/2/2014",47
"203","Raja Natwarlal","2014-08-29",5.75,17," 26.00",30," Losing",2014,35,"Thriller","","Emraan Hashmi,Paresh Rawal,Kay Kay Menon","","","","",NA,NA,NA,"8/29/2014","NP",8775,1157,8218,4051325,"7/18/2014",42
"204","Rajjo","2013-11-15",0.5,1.5,"2",2,"Flop",2013,12,"Drama","","Kangana Ranaut","Vishwas Patil","","","",NA,NA,NA,"11/15/2013","N",127636,1088,1617,1737162,"9/26/2013",50
"205","Ramaiya Vastavaiya","2013-07-19",3.5,14.7,"26",31,"Losing",2013,30,"Rom-Com","","Girish Kumar,Shruti Haasan","Prabhu Deva","Tips Industries Limited","Tips Films","",NA,NA,NA,"7/19/2013","N",170193,710,4290,3910410,"4/25/2013",85
"206","Ramleela","2013-11-15",15.85,52.6,"82",110,"Super-Hit",2013,35,"Romance","","Ranveer Singh,Deepika Padukone","","","","",NA,NA,NA,"11/15/2013","N",40177,4419,22137,9724764,"9/16/2013",60
"207","Rang Rasiya","2014-11-07",0.7,2.5," 05.00",5," Flop",2014,12,"Drama","Period","Randeep Hooda,Nandana Sen","Ketan Mehta","","","",NA,NA,NA,"11/7/2014","Y",38151,175,730,1129472,"9/25/2014",43
"208","Rangrezz","2013-03-21",1,4,"6",6,"Flop",2013,15,"Drama","","Jackky Bhagnani,Priya Anand,Rajpal Yadav","Priyadarshan","Pooja Entertainment","","",NA,NA,NA,"3/21/2013","NP",1646,70,171,319084,"2/4/2013",45
"209","Rascals","2011-10-06",7.5,22.75,"30",35,"Flop",2011,45,"Comedy","","Ajay Devgn,Sanjay Dutt,Kangana Ranaut,Lisa Haydon,Arjun Rampal","David Dhawan","","Eros Entertainment","",NA,NA,NA,"10/6/2011","NP",55617,47,220,362317,"8/10/2011",57
"210","Ready","2011-06-03",13,42.5,"69",120,"Super-hit",2011,40,"Action","","Salman Khan","Anees Bazmee","","Sohail Khan Productions,
Eros International","",NA,NA,NA,"6/3/2011","NP",176167,303,1528,1839961,"4/14/2011",50
"211","Revolver Rani","2014-04-25",1.9,6,"10",10,"Flop",2014,26,"Drama","","Kangana Ranaut,Vir Das,Piyush Mishra,Zakir Hussain","Sai Kabir","","","",NA,NA,NA,"4/25/2014","Y",120009,394,3013,1745467,"3/5/2014",51
"212","Roar","2014-10-31",1.7,5,"    08.00",8.3," Average",2014,7,"Action","","Abhinav Shukla,Himarsha Venkatsamy,Achint Kaur,Subrat Dutta,Nora Fatehi,Ali Quli Mirza,Aadil Chahal,Varinder Singh,Ghuman","Kamal Sadanah","","","",NA,NA,NA,"10/31/2014","Y",314003,78,522,282946,"7/31/2014",92
"213","Rockstar","2011-11-11",11,35,"51",108,"Hit",2011,60,"Drama","","Ranbir Kapoor,Nargis Fakhri","Imtiaz Ali","Shree Ashtavinayak Cine Vision Ltd","Eros International","",NA,NA,NA,"11/11/2011","NP",26112,367,3146,1986285,"8/30/2011",73
"214","Rowdy Rathore","2012-06-01",15.01,48.05,"79.52",131,"Super-Hit",2012,45,"Action","","Akshay Kumar,Sonakshi Sinha","Prabhu Deva","SLB Films","UTV Motion Pictures","",NA,NA,NA,"6/1/2012","NP",388221,1655,5407,3519138,"4/2/2012",60
"215","Roy ","2015-02-13",10.4,28.68," 41.77",45,"Flop",2015,40,"Thriller","","Arjun Rampal,Jacqueline Fernandez,Ranbir Kapoor","Vikramjit Singh","","","",NA,NA,NA,"2/13/2015","Y",157896,3239,19013,7690714,"12/16/2014",59
"216","Rush","2012-10-26",0.6,2.5,"3.5",4,"Flop",2012,30,"Thriller","","Emraan Hashmi,Neha Dhupia","Shamin Desai
Priyanka Desai","Showman International","Percept Pictures","T-Series",NA,NA,NA,"10/26/2012","NP",471,44,241,182595,"9/28/2012",28
"217","Saheb Biwi Aur Gangster","2011-09-30",1,3.5,"5.25",20,"Plus",2011,4,"Thriller","","Jimmy Shergill,Mahi Gill,Randeep Hooda","Tigmanshu Dhulia","","","",NA,NA,NA,"9/30/2011","N",1654,0,5,6298,"3/29/2012",-181
"218","Saheb Biwi Aur Gangster Returns","2013-03-08",3.5,12.75,"18.25",19,"Plus",2013,15,"Drama","","Jimmy Shergill,Mahi Gill,Irrfan Khan,Soha Ali Khan","Tigmanshu Dhulia","Brandsmith Motion Pictures,
Viacom 18","ShowMaker Pictures","",NA,NA,NA,"3/8/2013","NP",1150,190,1042,1200536,"1/31/2013",36
"219","Samrat & Co.","2014-04-25",0.25,1,"2",2,"Flop",2014,15,"Crime",""," Rajeev Khandelwal","","","","",NA,NA,NA,"4/25/2014","NP",1675,180,531,371613,"3/18/2014",38
"220","Satya 2","2013-11-08",0.4,1.5," 02.00",2,"Flop",2013,15,"Crime","","Puneet Singh Ratn","Ram Gopal Varma","","","",NA,NA,NA,"11/8/2013","N",109740,27,90,115355,"9/30/2013",39
"221","Satyagraha","2013-08-30",11,39,"55",68,"Average",2013,50,"Drama","","Amitabh Bachchan,Kareena Kapoor Khan,Ajay Devgn","","","","",NA,NA,NA,"8/30/2013","N",6396,399,2754,1437733,"6/26/2013",65
"222","Shaadi Ke Side Effects","2014-02-28",5.4,21.5," 31.00",34,"Average",2014,43,"Rom-Com","","Farhan Akhtar,Vidya Balan","","","","",NA,NA,NA,"2/28/2014","N",12075,1466,9028,4593905,"10/28/2013",123
"223","Shahid","2013-10-18",0.3,1.75,"3.2",4,"Flop",2013,6.35,"Biopic","","Rajkummar Rao,Tigmanshu Dhulia,K K Menon","Hansal Mehta","UTV Spot Boy","UTV Motion Pictures","",NA,NA,NA,"10/18/2013","None",0,414,3217,1203294,"9/20/2013",28
"224","Shaitan","2011-06-10",1,3.5,"5",8,"Losing",2011,11,"Thriller","","Rajit Kapoor,Rajeev Khandelwal,Kalki Koechlin,Pawan Malhotra","Bejoy Nambiar","","","",NA,NA,NA,"6/10/2011","NP",23860,41,279,383720,"4/20/2011",51
"225","Shamitabh ","2015-01-30",3.5,13.25,"19",22,"Flop",2015,45,"Drama","","Amitabh Bachchan,Dhanush,Akshara","Amitabh Bachchan,Dhanush","","","",NA,NA,NA,"1/30/2015","NP",2152,1270,12292,2105208,"1/6/2015",24
"226","Shanghai","2012-06-08",3,12.2,"17.05",22,"Losing",2012,20,"Drama","","Abhay Deol,Emraan Hashmi,Kalki Koechlin,Prosenjit Chatterjee","Dibakar Banerjee","studio green","PVR Pictures","",NA,NA,NA,"6/8/2012","N",123887,58,1134,547862,"4/6/2012",63
"227","Shirin Farhad Ki Toh Nikal Padi","2012-08-24",3,6,"9.1",11,"Average",2012,12,"Rom-Com","","Farah Khan,Boman Irani","Bela Bhansali Sehgal","SLB Films","Bhansali Productions,
Eros International","",NA,NA,NA,"8/24/2012","NP",1438,217,1288,837831,"5/29/2012",87
"228","Sholay 3D","2014-01-03",1.5,6.3," 11.00",11,"Losing",2014,20,"Drama","","Amitabh Bachchan,Dharmendra","","","","",NA,NA,NA,"1/3/2014","N",67386,288,2119,1009039,"11/7/2013",57
"229","Shootout At Wadala","2013-05-03",10.1,30.8,"45.8",62,"Hit",2013,48,"Action / Drama","","John Abraham,Anil Kapoor,Kangana Ranaut,Sonu Sood,Manoj Bajpai,Ronit Roy,Mahesh Manjrekar,Tusshar Kapoor","","","","",NA,NA,NA,"5/3/2013","N",669085,147,900,843763,"1/27/2013",96
"230","Shor In The City","2011-04-29",0.4,2,"3",4,"Losing",2011,3,"Crime","","Sendhil Ramamurthy,Preeti Desai,Tusshar Kapoor","Raj Nidimoru","","Balaji Motion Pictures","",NA,NA,NA,"4/29/2011","NP",7466,1,35,65126,"3/29/2011",31
"231","Shuddh Desi Romance","2013-09-06",6.45,23,"37",47,"Plus",2013,30,"Rom-Com","","Sushant Singh Rajput,Parineeti Chopra,Vaani Kapoor","","","","",NA,NA,NA,"9/6/2013","N",803,1019,5617,3725485,"7/11/2013",57
"232","Singh Saab The Great","2013-11-22",5.5,16.25,"24",36," Average",2013,32,"Drama","","Sunny Deol","Anil Sharma","","","",NA,NA,NA,"11/22/2013","NP",16743,108,901,245441,"10/28/2013",25
"233","Singham","2011-07-22",9,30.5,"50",100,"Super-hit",2011,20,"Action","","Ajay Devgn","","","","",NA,NA,NA,"7/22/2011","NP",510094,502,4006,3334539,"6/3/2011",49
"234","Singham Returns","2014-08-15",32,77.55,"112",141," Plus",2014,88,"Action","","Salman Khan,Sonakshi Sinha","","","","",NA,NA,NA,"8/15/2014","NP",15044,2908,20049,8290039,"7/11/2014",35
"235","Son Of Sardaar","2012-11-13",10,64.05,"83",105,"Hit",2012,55,"Comedy","","Ajay Devgn,Sonakshi Sinha","","","","",NA,NA,NA,"11/13/2012","Y",262272,51,127,49596,"7/19/2012",117
"236","Special Chabbis (26)","2013-02-08",6.5,25.75,"44",70,"Plus",2013,26,"Thriller","","Akshay Kumar,Anupam Kher,Jimmy Shergill,Manoj Bajpai","Neeraj Pandey","Friday Filmworks","Viacom 18","",NA,NA,NA,"2/8/2013","NP",36058,576,6292,1859738,"12/20/2012",50
"237","Speedy Singhs","2011-09-23",0.6,2,"3",4,"Flop",2011,25,"Sports","","Vinay Virmani,Camilla Belle,Anupam Kher","","","","",NA,NA,NA,"9/23/2011","NP",2952,82,1732,1001584,"8/18/2011",36
"238","Student Of The Year","2012-10-19",9,28.5,"47",70,"Super-Hit",2012,45,"Drama","","Siddharth Malhotra,Varun Dhawan,Alia Bhatt","Karan Johar","Dharma Productions,
Red Chillies Entertainment","Dharma Productions (India),
Eros Entertainment (International)[2]","",NA,NA,NA,"10/19/2012","N",3680889,2967,6009,4520945,"8/2/2012",78
"239","Super Nani","2014-10-31",0.45,1.5," 05.00",5," Flop",2014,8,"Comedy","","Rekha,Sharman Joshi,Randhir Kapoor,Anupam Kher","Indra Kumar","","","",NA,NA,NA,"10/31/2014","Y",58430,282,1574,875773,"9/19/2014",42
"240","Table no. 21","2013-01-04",1.5,6,"9.5",15,"Average",2013,12,"Thriller","","Paresh Rawal,Rajeev Khandelwal,Tena Desae","Aditya Datt","Next Gen Films","Eros International","",NA,NA,NA,"1/4/2013","NP",10547,147,1180,1167853,"11/22/2012",43
"241","Talaash","2012-11-30",14,48,"68",93,"Hit",2012,40,"Thriller","","Aamir Khan,Rani Mukherjee,Kareena Kapoor Khan","","","","",NA,NA,NA,"11/30/2012","Y",427834,1779,6700,3795554,"9/13/2012",78
"242","Tanu Weds Manu","2011-02-25",3.25,11.25,"18.55",38,"Hit",2011,15,"Rom-Com","","Kangana Ranaut,R Madhavan","","","","",NA,NA,NA,"2/25/2011","N",168758,9,55,165350,"12/24/2010",63
"243","Tanu Weds Manu Returns","2015-05-22",8.85,38.1,"70",171.05,"Blockbuster",2015,30,"Comedy / Drama","","Kangana Ranaut,R. Madhavan,Jimmy Shergill,Deepak Dobriyal","Aanand L. Rai","Colour Yellow Pictures","Eros International","",NA,NA,NA,"5/22/2015","Y",379000,1387,24290,7748874,"4/14/2015",38
"244","Tere Naal Love Ho Gaya","2012-02-24",1.75,7.05,"12.05",22,"Plus",2012,10,"Rom-Com","","Reitesh Deshmukh,Genelia D'Souza","Mandeep Kumar","Kumar S. Taurani","","",NA,NA,NA,"2/24/2012","NP",63736,123,1505,1213496,"12/22/2011",64
"245","Teri Meri Kahaani","2012-06-22",5,16,"23",28,"Flop",2012,30,"Romance","","Shahid Kapoor,Priyanka Chopra","Kunal Kohli","Kunal Kohli Productions","Nadiadwala Grandson Entertainment,
Eros International","",NA,NA,NA,"6/22/2012","NP",31469,705,4810,2496887,"4/5/2012",78
"246","Tevar ","2015-01-09",7.05,22.05,"35",39,"Flop",2015,60,"Action","","Arjun Kapoor,Sonakshi Sinha,Raj Babbar,Manoj Bajpai","Amit Sharma","","","",NA,NA,NA,"1/16/2015","NP",5065,1739,11273,6137326,"11/10/2014",67
"247","Tezz","2012-04-27",3.05,11,"15.08",35,"Flop",2012,40,"Drama","","Anil Kapoor,Kangana Ranaut,Zayed Khan,Mallika Sherawat,Sameera Reddy,Boman Irani,Ajay Devgn","Priyadarshan","Ratan Jain","United 7 Entertainment,
Eros Entertainment","",NA,NA,NA,"4/27/2012","NP",31500,321,2372,2527689,"1/4/2012",114
"248","Thank You","2011-04-08",4.85,17.75,"24",46,"Flop",2011,58,"Comedy","","Akshay Kumar,Sunil Shetty,Sonam Kapoor,Bobby Deol,Rimi Sen,Celina Jaitley,Irrfan Khan","Anees Bazmee","","","",NA,NA,NA,"4/8/2011","NP",1744,128,623,1117064,"2/25/2011",42
"249","The Attacks Of 26/11","2013-03-01",1.45,5.5,"8",12,"Flop",2013,30,"Drama","","Nana Patekar,Sanjeev Jaiswal","Ram Gopal Varma","","Eros International","",NA,NA,NA,"3/1/2013","NP",398,354,1946,1081140,"1/17/2013",43
"250","The Dirty Picture","2011-12-02",9.35,31.36,"52.5",118,"Super-hit",2011,18,"Drama","","Vidya Balan,Naseeruddin Shah,Tusshar Kapoor,Emraan Hashmi","Milan Luthria","","ALT Entertainment,
Balaji Motion Pictures","",NA,NA,NA,"12/2/2011","NP",463479,226,1084,2257031,"8/30/2011",94
"251","The Lunchbox","2013-09-20",1.25,7,"11",22,"Hit",2013,10,"Drama","","Irrfan Khan","Ritesh Batra","DAR Motion Pictures,
UTV Motion Pictures,
Dharma Productions
Sikhya,Entertainment
NFDC","","",NA,NA,NA,"9/20/2013","N",14135,288,4092,1082453,"8/14/2013",37
"252","The Shaukeens","2014-11-07",5,18,"28",32.36,"  Average",2014,42,"Comedy","","Anupam Kher,Annu Kapoor,Piyush Mishra,Lisa Haydon","Abhishek Sharma","","","",NA,NA,NA,"11/7/2014","Y",94707,560,4374,2375495,"9/27/2014",41
"253","The Xpose","2014-05-16",2.5,9.75,"16.65",18,"Average",2014,15,"Thriller","","Himesh Reshammiya,Zoya Afroz,Sonali Raut,Honey Singh","Anant Mahadevan","","HR Musik Limited","",NA,NA,NA,"5/16/2014","Y",664183,1293,3514,3708362,"4/2/2014",44
"254","Total Siyapaa","2014-03-07",1.05,3.85,"5.7",6,"Flop",2014,17,"Comedy","","Ali Zafar,Yami Gautam","","","","",NA,NA,NA,"3/7/2014","NP",3577,555,3675,1759798,"11/25/2013",102
"255","Ugly","2014-12-26",0.4,1.65,"2",14,"Hit",2014,4.5,"Thriller","","Rahul Bhat,Ronit Roy"," Anurag Kashyap","Phantom Films","DAR Motion Pictures","",NA,NA,NA,"12/19/2014","Y",53773,325,3423,1806929,"12/15/2014",4
"256","Ungli","2014-11-28",3.6,12.65,"19",19," Flop",2014,15,"Crime","","Emraan Hashmi,Randeep Hooda,Kangana Ranaut,Neha Dhupia, Sanjay Dutt","Rensil D'Silva","Dharma Productions","AA Films","",NA,NA,NA,"11/28/2014","Y",100826,492,6919,2746986,"9/29/2014",60
"257","Vicky Donor","2012-04-20",1.08,7.65,"13",65,"Super-Hit",2012,5,"Comedy","","Ayushmann Khurrana,Yami Gautam,Annu Kapoor","Shoojit Sircar","Rising Sun Films","John Abraham Entertainment,
Eros Entertainment","",NA,NA,NA,"4/20/2012","NP",88089,247,3448,2086366,"3/8/2012",43
"258","War Chhod Na Yaar","2013-10-11",1.4,5," 06.75",7,"Flop",2013,14,"Comedy","","Sharman Joshi,Soha Ali Khan,Javed Jaffrey","Faraz Haider","","","",NA,NA,NA,"10/11/2013","N",27962,179,894,307298,"9/19/2013",22
"259","Warning 3D","2013-09-27",0.8,3," 03.00",3,"Flop",2013,5,"Action","","Santosh Barmola,Suzana Rodrigues,Manjari Fadnis,Varun Sharma","Gurmmeet Singh","Anubhav Sinha","Eros International,
Alumbra Entertainment,
Benaras Media Works","",NA,NA,NA,"9/27/2013","None",81,224,1518,307298,"8/21/2013",37
"260","Welcome To Karachi","2015-05-28",1.68,5.4," 08.00",8,"Flop",2015,20,"Comedy","","Arshad Warsi,Jackky Bhagnani,Lauren Gottlieb,Dalip Tahil","Ashish R Mohan","Puja Entertainment","AA Films","",NA,NA,NA,"5/28/2015","N",6567,1077,11015,4239070,"4/13/2015",45
"261","Yaariyan","2014-01-10",6,19,"31.5",40,"Super-Hit",2014,19,"Comedy","","Himansh Kohli,Rakul Preet,Nicole Faria,Dev Sharma","Divya Khosla Kumar","Bhushan Kumar & Krishan Kumar","","",NA,NA,NA,"1/10/2014","Y",3147064,767,4852,3331807,"10/30/2013",72
"262","Yamla Pagla Deewana","2011-01-14",7.75,23,"34",55,"Hit",2011,20,"Comedy","","Sunny Deol,Bobby Deol,Dharmendra","","","","",NA,NA,NA,"1/14/2011","N",146693,9,118,215922,"12/15/2010",30
"263","Yamla Pagla Deewana 2","2013-06-07",7.1,23,"35",37,"Average",2013,20,"Comedy","","Sunny Deol,Bobby Deol,Dharmendra","Sangeeth Sivan","Dharmendra","Sunny Sounds Pvt. Ltd.
YPD Films Ltd UK","",NA,NA,NA,"6/7/2013","N",3001,684,5460,2785551,"3/27/2013",72
"264","Yeh Hai Bakrapur","2014-05-09",0.2,1,"2",2,"Flop",2014,3,"Comedy","","Anshuman Jha,Asif Basra,Suruchi Aulakh","","","","",NA,NA,NA,"5/9/2014","Y",36847,924,758,1257546,"3/2/2014",68
"265","Yeh Jawaani Hai Deewani","2013-05-31",19.45,62.11,"107.61",190,"Super-Hit",2013,70,"Comedy / Drama","","Ranbir Kapoor,Deepika Padukone,Kalki Koechlin,Aditya Roy Kapoor","Ayan Mukerji","Dharma Productions","UTV Motion Pictures","",NA,NA,NA,"5/31/2013","N",2053316,1664,14230,5265692,"3/19/2013",73
"266","Yeh Saali Zindagi","2011-02-04",1.1,4.5,"7.5",12,"Average",2011,8,"Thriller","","Irrfan Khan,Arunoday Singh,Chitrangada Singh,Aditi Rao Hydari","Sudhir Mishra","Prakash Jha","","",NA,NA,NA,"2/4/2011","N",30302,9,9,13146,"2/8/2011",-4
"267","Youngistaan","2014-03-28",1.1,4.05,"6.75",7,"Flop",2014,23,"Comedy / Drama","","Jackky Bhagnani,Neha Sharma,Farooq Sheikh","Syed Ahmad Afzal","","","",NA,NA,NA,"3/28/2014","NP",36047,177,1085,604598,"1/31/2014",56
"268","Zanjeer","2013-09-06",3.5,10,"15",15,"Flop",2013,60,"Action","","Priyanka Chopra","","","","",NA,NA,NA,"9/6/2013","N",12426,81,462,329080,"7/4/2013",64
"269","Zed Plus","2014-11-28",0.12,0.4,"0.4",0.47," Flop",2014,5,"Drama",""," Mona Singh,Mukesh Tiwari,Kulbhushan Kharbanda,Sanjay Mishra,Shivani Tanksale","Chandra Prakash Dwivedi","","","",NA,NA,NA,"11/28/2014","Y",45389,69,660,528520,"10/29/2014",30
"270","Zid","2014-11-28",2.82,8.6," 14.00",14," Flop",2014,15,"Thriller","","Karanvir Sharma,Mannara,Shraddha Das","Vivek Agnihotri","Benaras Media Works","","",NA,NA,NA,"11/28/2014","Y",59909,62,186,258195,"11/21/2014",7
"271","Zila Ghaziabad","2013-02-22",3.5,10,"16",16,"Flop",2013,36,"Thriller","","Sanjay Dutt,Arshad Warsi,Vivek Oberoi","Anand Kumar","Soundrya Production","Showman International","",NA,NA,NA,"2/22/2013","NP",1193,621,1763,1566604,"1/10/2013",43
"272","Zindagi Na Milegi Dobara","2011-07-15",7.5,27,"44",90,"Plus",2011,55,"Comedy / Drama","","Hrithik Roshan,Abhay Deol,Farhan Akhtar,Katrina Kaif,Kalki Koechlin","Zoya Akhtar","Excel Entertainment","Eros International","",NA,NA,NA,"7/15/2011","Y",2464050,82,801,650952,"5/31/2011",45
